InChIKey,solute_id,smiles_canon,molecular_weight,TPSA,polarity_class,size_class,hybrid_class
FJPQFRXOQNVROM-UUOKLVDSSA-N,solute_6815,C[NH+](C)CCOC1C=CC2=C(CCC=C2)Cc2ccccc21.O=C([O-])C=CC(=O)O,411.4980000000001,91.10000000000001,polar,large,"polar,large"
VBEZUCAXMREMFB-UHFFFAOYSA-N,solute_6817,CN(C)C(=O)COC1c2ccccc2CCc2ccccc21,295.382,29.540000000000003,polar,small,"polar,small"
LPWNZMIBFHMYMX-MONHGIHASA-N,solute_6818,Cl.Cl.OCCN1CCN(CCC=C2c3ccccc3Sc3ccc(Cl)cc32)CC1,473.8970000000002,26.71,polar,large,"polar,large"
GUJKBBOGALTPCN-UHFFFAOYSA-N,solute_6819,CC(C)=CCCC(C)=CCN1CCN(CC(=O)NN=Cc2ccc([N+](=O)[O-])o2)CC1,417.51000000000016,104.22,polar,large,"polar,large"
CCDDAZAJRNNGBK-UHFFFAOYSA-N,solute_6820,COc1cccc(CNCC2CCC(CNCc3cccc(OC)c3OC)CC2)c1OC.Cl.Cl,515.5220000000003,60.980000000000004,polar,large,"polar,large"
ZZHLYYDVIOPZBE-UHFFFAOYSA-N,solute_6821,CC(CN(C)C)CN1c2ccccc2Sc2ccccc21,298.45500000000004,6.48,non-polar,small,"non-polar,small"
ZBCOWAGFAVHZHK-UHFFFAOYSA-N,solute_6822,C[NH+](C)CCCn1c2ccccc2c2cc(Cl)ccc21.O=C([O-])C(=O)O,376.84000000000015,86.8,polar,large,"polar,large"
VZWXXKDFACOXNT-UHFFFAOYSA-N,solute_6823,CCCOCCOC(=O)C1=C(C)NC(C)=C(C(=O)OCCOCCC)C1c1cccc([N+](=O)[O-])c1,490.55300000000034,126.23000000000002,polar,large,"polar,large"
HSTXHXGDIVZVPT-UHFFFAOYSA-N,solute_6824,C[S+](Cc1ccccc1)Cc1ccccc1.O=[N+]([O-])[O-],291.372,66.2,polar,small,"polar,small"
MHPZZZZLAQGTHT-UHFFFAOYSA-N,solute_6825,Cc1cc(C)c(NC(=O)CN(CC(=O)O)CC(=O)O)c(C)c1Br,387.23,106.94000000000001,polar,large,"polar,large"
ITJJTERMXJOUEE-UHFFFAOYSA-N,solute_6827,CCOC(=O)COc1cc(OCC(=O)OCC)c2c(=O)cc(-c3ccccc3)oc2c1,426.4210000000001,101.27,polar,large,"polar,large"
